relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex;origin;connection_epoch;service_uuid;characteristic_uuid;properties_raw;payload_sha256;public_redaction
424262;1788008145242;150D;Fahrstatistik Max/Ø;20;140;–;00-EA-00-C9-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a150d-d532-4285-be94-b07a3e11a098;18;;
425312;1788008146292;1502;Akkuinformationen;16;141;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a1502-d532-4285-be94-b07a3e11a098;18;;
425723;1788008146703;1505;BikePerformance / Fahrleistung;18;141;1,3;0C-DA-0C-DA-FF-FF-00-DA-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a1505-d532-4285-be94-b07a3e11a098;18;;
425933;1788008146913;1506;Trip / Kilometer & Betriebszähler;16;141;7;00-00-1C-D9-00-02-40-B2-00-00-02-E2-00-00-00-00;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a1506-d532-4285-be94-b07a3e11a098;18;;
426348;1788008147328;1508;Settings / Licht & Fahrstufe;17;141;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a1508-d532-4285-be94-b07a3e11a098;18;;
426561;1788008147541;1509;BatteryChange / Akku-Livestand;11;141;–;1B-58-FF-FF-3B-B7-FC-00-00-01-49;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a1509-d532-4285-be94-b07a3e11a098;18;;
426771;1788008147751;150A;MotorUpdate / Motor-Livestand;10;141;–;1B-58-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a150a-d532-4285-be94-b07a3e11a098;18;;
426982;1788008147962;150B;Motor-/Controllerblock;20;141;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a150b-d532-4285-be94-b07a3e11a098;18;;
427183;1788008148163;150D;Fahrstatistik Max/Ø;20;141;–;00-EA-00-C9-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a150d-d532-4285-be94-b07a3e11a098;18;;
428232;1788008149212;1502;Akkuinformationen;16;142;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a1502-d532-4285-be94-b07a3e11a098;18;;
428642;1788008149622;1505;BikePerformance / Fahrleistung;18;142;–;0C-DA-0C-DA-FF-FF-00-DA-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a1505-d532-4285-be94-b07a3e11a098;18;;
428851;1788008149831;1506;Trip / Kilometer & Betriebszähler;16;142;3,7;00-00-1C-DA-00-02-40-B5-00-00-02-E2-00-00-00-00;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a1506-d532-4285-be94-b07a3e11a098;18;;
429273;1788008150253;1508;Settings / Licht & Fahrstufe;17;142;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a1508-d532-4285-be94-b07a3e11a098;18;;
429483;1788008150463;1509;BatteryChange / Akku-Livestand;11;142;6;1B-58-FF-FF-3B-B7-98-00-00-01-49;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a1509-d532-4285-be94-b07a3e11a098;18;;
429692;1788008150672;150A;MotorUpdate / Motor-Livestand;10;142;0,1;17-70-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a150a-d532-4285-be94-b07a3e11a098;18;;
429901;1788008150881;150B;Motor-/Controllerblock;20;142;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a150b-d532-4285-be94-b07a3e11a098;18;;
430112;1788008151092;150D;Fahrstatistik Max/Ø;20;142;–;00-EA-00-C9-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a150d-d532-4285-be94-b07a3e11a098;18;;
431149;1788008152129;1502;Akkuinformationen;16;143;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a1502-d532-4285-be94-b07a3e11a098;18;;
431572;1788008152552;1505;BikePerformance / Fahrleistung;18;143;0,1,2,3;09-38-09-38-FF-FF-00-DA-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a1505-d532-4285-be94-b07a3e11a098;18;;
431780;1788008152760;1506;Trip / Kilometer & Betriebszähler;16;143;7;00-00-1C-DA-00-02-40-B8-00-00-02-E2-00-00-00-00;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a1506-d532-4285-be94-b07a3e11a098;18;;
432192;1788008153172;1508;Settings / Licht & Fahrstufe;17;143;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a1508-d532-4285-be94-b07a3e11a098;18;;
432402;1788008153382;1509;BatteryChange / Akku-Livestand;11;143;0,1,5,6,10;17-70-FF-FF-3B-B8-C4-00-00-01-1B;NOTIFICATION;2;da1a1500-d532-4285-be94-b07a3e11a098;da1a1509-d532-4285-be94-b07a3e11a098;18;;
