relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex
23482;1786831790211;150B;Motor-/Controllerblock;20;7;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
23639;1786831790368;150D;Fahrstatistik Max/Ø;20;7;–;00-14-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
24756;1786831791485;1502;Akkuinformationen;16;8;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
25147;1786831791876;1505;BikePerformance / Fahrleistung;18;8;7;00-00-00-00-FF-FF-00-13-FF-FF-FF-FF-FF-00-00-00-00-00
25300;1786831792029;1506;Trip / Kilometer & Betriebszähler;16;8;7;00-00-1B-A9-00-02-25-6F-00-00-02-C4-00-00-00-00
25795;1786831792524;1508;Settings / Licht & Fahrstufe;17;8;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
25919;1786831792648;1509;BatteryChange / Akku-Livestand;11;8;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
26216;1786831792945;150A;MotorUpdate / Motor-Livestand;10;8;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
26347;1786831793076;150B;Motor-/Controllerblock;20;8;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
26618;1786831793347;150D;Fahrstatistik Max/Ø;20;8;1;00-16-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
27708;1786831794437;1502;Akkuinformationen;16;9;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
28056;1786831794785;1505;BikePerformance / Fahrleistung;18;9;7;00-00-00-00-FF-FF-00-15-FF-FF-FF-FF-FF-00-00-00-00-00
28228;1786831794957;1506;Trip / Kilometer & Betriebszähler;16;9;7;00-00-1B-A9-00-02-25-72-00-00-02-C4-00-00-00-00
28754;1786831795483;1508;Settings / Licht & Fahrstufe;17;9;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
28842;1786831795571;1509;BatteryChange / Akku-Livestand;11;9;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
29104;1786831795833;150A;MotorUpdate / Motor-Livestand;10;9;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
29261;1786831795990;150B;Motor-/Controllerblock;20;9;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
29538;1786831796267;150D;Fahrstatistik Max/Ø;20;9;1;00-19-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
30514;1786831797243;1502;Akkuinformationen;16;10;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
30928;1786831797657;1505;BikePerformance / Fahrleistung;18;10;7;00-00-00-00-FF-FF-00-1A-FF-FF-FF-FF-FF-00-00-00-00-00
31143;1786831797872;1506;Trip / Kilometer & Betriebszähler;16;10;7;00-00-1B-A9-00-02-25-75-00-00-02-C4-00-00-00-00
31561;1786831798290;1508;Settings / Licht & Fahrstufe;17;10;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
31757;1786831798486;1509;BatteryChange / Akku-Livestand;11;10;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
