relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex;origin;connection_epoch
26272;1787229941380;1506;Trip / Kilometer & Betriebszähler;16;7;–;00-00-1B-DA-00-02-2B-DC-00-00-02-C9-00-00-00-00;NOTIFICATION;1
26690;1787229941798;1508;Settings / Licht & Fahrstufe;17;7;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
26903;1787229942011;1509;BatteryChange / Akku-Livestand;11;7;–;00-00-FF-FF-3B-BF-68-00-00-00-00;NOTIFICATION;1
27113;1787229942221;150A;MotorUpdate / Motor-Livestand;10;7;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
27322;1787229942430;150B;Motor-/Controllerblock;20;7;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
27532;1787229942640;150D;Fahrstatistik Max/Ø;20;7;–;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
28568;1787229943676;1502;Akkuinformationen;16;8;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
28979;1787229944087;1505;BikePerformance / Fahrleistung;18;8;7;00-00-00-00-FF-FF-00-03-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
29190;1787229944298;1506;Trip / Kilometer & Betriebszähler;16;8;7;00-00-1B-DA-00-02-2B-DD-00-00-02-C9-00-00-00-00;NOTIFICATION;1
29610;1787229944718;1508;Settings / Licht & Fahrstufe;17;8;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
29821;1787229944929;1509;BatteryChange / Akku-Livestand;11;8;–;00-00-FF-FF-3B-BF-68-00-00-00-00;NOTIFICATION;1
30030;1787229945138;150A;MotorUpdate / Motor-Livestand;10;8;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
30242;1787229945350;150B;Motor-/Controllerblock;20;8;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
30440;1787229945548;150D;Fahrstatistik Max/Ø;20;8;1;00-18-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
31490;1787229946598;1502;Akkuinformationen;16;9;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
31898;1787229947006;1505;BikePerformance / Fahrleistung;18;9;0,1,2,3,7;0B-36-0B-36-FF-FF-00-28-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
32110;1787229947218;1506;Trip / Kilometer & Betriebszähler;16;9;7;00-00-1B-DA-00-02-2B-E0-00-00-02-C9-00-00-00-00;NOTIFICATION;1
