relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex;payload_sha256;public_redaction
7674;1786820953239;1502;Akkuinformationen;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
7728;1786820953293;2A04;Unbekannter Kanal;8;1;0,1,2,3,4,5,6,7;14-00-28-00-00-00-E8-03;;
8080;1786820953645;1505;BikePerformance / Fahrleistung;18;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
8291;1786820953856;1506;Trip / Kilometer & Betriebszähler;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;00-00-1B-A6-00-02-25-0B-00-00-02-C3-00-00-00-00;;
8382;1786820953947;2A28;Unbekannter Kanal;10;1;0,1,2,3,4,5,6,7,8,9;;065d10ab6f3c497c3209251b654ac005a7f67238063fbfcf96d99fbc93d910b5;identity_or_free_form
8707;1786820954272;1508;Settings / Licht & Fahrstufe;17;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
8909;1786820954474;1509;BatteryChange / Akku-Livestand;11;1;0,1,2,3,4,5,6,7,8,9,10;00-00-FF-FF-4B-C6-70-00-00-00-00;;
9044;1786820954609;1501;Fahrzeuginformationen;18;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;01-02-FF-FF-FF-FF-00-FF-FF-0A-00-00-00-03-00-00-00-00;;
9126;1786820954691;150A;MotorUpdate / Motor-Livestand;10;1;0,1,2,3,4,5,6,7,8,9;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
9326;1786820954891;150B;Motor-/Controllerblock;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
9541;1786820955106;150D;Zweite Fahrstatistik;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
9708;1786820955273;1502;Akkuinformationen;16;2;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
10361;1786820955926;1503;Motor-/Controllerinformationen;2;1;0,1;00-00;;
10587;1786820956152;1502;Akkuinformationen;16;3;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
11002;1786820956567;1505;BikePerformance / Fahrleistung;18;2;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
11013;1786820956578;1504;Firmware-ID;19;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18;;4e07d6e11ce50a4fe1ae8e5a809265a5f7ec456e886854ff5619eaccd09e46ac;identity_or_free_form
11207;1786820956772;1506;Trip / Kilometer & Betriebszähler;16;2;–;00-00-1B-A6-00-02-25-0B-00-00-02-C3-00-00-00-00;;
11622;1786820957187;1508;Settings / Licht & Fahrstufe;17;2;–;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
11666;1786820957231;1505;BikePerformance / Fahrleistung;18;3;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
11845;1786820957410;1509;BatteryChange / Akku-Livestand;11;2;–;00-00-FF-FF-4B-C6-70-00-00-00-00;;
12039;1786820957604;150A;MotorUpdate / Motor-Livestand;10;2;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
12253;1786820957818;150B;Motor-/Controllerblock;20;2;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
12318;1786820957883;1506;Trip / Kilometer & Betriebszähler;16;3;–;00-00-1B-A6-00-02-25-0B-00-00-02-C3-00-00-00-00;;
12453;1786820958018;150D;Zweite Fahrstatistik;20;2;–;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
12972;1786820958537;1507;Stats / Gesamtfahrdaten;8;1;0,1,2,3,4,5,6,7;FF-FF-FF-FF-00-00-00-00;;
13504;1786820959069;1502;Akkuinformationen;16;4;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
13624;1786820959189;1508;Settings / Licht & Fahrstufe;16;3;16;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00;;
13916;1786820959481;1505;BikePerformance / Fahrleistung;18;4;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
14142;1786820959707;1506;Trip / Kilometer & Betriebszähler;16;4;–;00-00-1B-A6-00-02-25-0B-00-00-02-C3-00-00-00-00;;
14275;1786820959840;1509;BatteryChange / Akku-Livestand;11;3;–;00-00-FF-FF-4B-C6-70-00-00-00-00;;
14546;1786820960111;1508;Settings / Licht & Fahrstufe;17;4;16;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
14747;1786820960312;1509;BatteryChange / Akku-Livestand;11;4;–;00-00-FF-FF-4B-C6-70-00-00-00-00;;
14928;1786820960493;150A;MotorUpdate / Motor-Livestand;10;3;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
14961;1786820960526;150A;MotorUpdate / Motor-Livestand;10;4;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
15166;1786820960731;150B;Motor-/Controllerblock;20;3;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
15379;1786820960944;150D;Zweite Fahrstatistik;20;3;–;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
15580;1786820961145;150B;Motor-/Controllerblock;20;4;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
16234;1786820961799;150C;BatteryCellUpdate / Zell- & Temperaturdaten;13;1;0,1,2,3,4,5,6,7,8,9,10,11,12;FF-FF-FF-80-00-80-00-80-00-00-00-00-00;;
16425;1786820961990;1502;Akkuinformationen;16;5;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
16840;1786820962405;1505;BikePerformance / Fahrleistung;18;5;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
16886;1786820962451;150D;Zweite Fahrstatistik;20;4;–;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
17043;1786820962608;1506;Trip / Kilometer & Betriebszähler;16;5;–;00-00-1B-A6-00-02-25-0B-00-00-02-C3-00-00-00-00;;
17459;1786820963024;1508;Settings / Licht & Fahrstufe;17;5;–;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
17538;1786820963103;150E;Unbekannter Kanal;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;FF-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00;;
17673;1786820963238;1509;BatteryChange / Akku-Livestand;11;5;–;00-00-FF-FF-4B-C6-70-00-00-00-00;;
17876;1786820963441;150A;MotorUpdate / Motor-Livestand;10;5;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
18090;1786820963655;150B;Motor-/Controllerblock;20;5;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
18179;1786820963744;150F;Unbekannter Kanal;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;FF-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00;;
18308;1786820963873;150D;Zweite Fahrstatistik;20;5;–;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
18832;1786820964397;1510;Unbekannter Kanal;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;FF-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00;;
19339;1786820964904;1502;Akkuinformationen;16;6;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
19485;1786820965050;1511;Unbekannter Kanal;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;;ddbb9244acf8127793a84541964b8caae120eaef045f4f997bbdaa6a2295bb67;identity_or_free_form
19756;1786820965321;1505;BikePerformance / Fahrleistung;18;6;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
19972;1786820965537;1506;Trip / Kilometer & Betriebszähler;16;6;–;00-00-1B-A6-00-02-25-0B-00-00-02-C3-00-00-00-00;;
20148;1786820965713;1512;Unbekannter Kanal;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;FF-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00;;
20387;1786820965952;1508;Settings / Licht & Fahrstufe;17;6;–;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
20589;1786820966154;1509;BatteryChange / Akku-Livestand;11;6;–;00-00-FF-FF-4B-C6-70-00-00-00-00;;
20790;1786820966355;1513;Unbekannter Kanal;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;;ddbb9244acf8127793a84541964b8caae120eaef045f4f997bbdaa6a2295bb67;identity_or_free_form
20812;1786820966377;150A;MotorUpdate / Motor-Livestand;10;6;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
21005;1786820966570;150B;Motor-/Controllerblock;20;6;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
21219;1786820966784;150D;Zweite Fahrstatistik;20;6;–;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
21442;1786820967007;151C;Unbekannter Kanal;10;1;0,1,2,3,4,5,6,7,8,9;FF-00-00-00-00-00-00-00-00-00;;
22129;1786820967694;1802;Unbekannter Kanal;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;;161660a64e88a397a33d90c876888717a0e1f7735754b0fbec20ad3d762038ba;identity_or_free_form
22263;1786820967828;1502;Akkuinformationen;16;7;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
22758;1786820968323;0203;Unbekannter Kanal;1;1;0;00;;
22882;1786820968447;1505;BikePerformance / Fahrleistung;18;7;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
23098;1786820968663;1506;Trip / Kilometer & Betriebszähler;16;7;–;00-00-1B-A6-00-02-25-0B-00-00-02-C3-00-00-00-00;;
23514;1786820969079;1508;Settings / Licht & Fahrstufe;17;7;–;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
23717;1786820969282;1509;BatteryChange / Akku-Livestand;11;7;–;00-00-FF-FF-4B-C6-70-00-00-00-00;;
23929;1786820969494;150A;MotorUpdate / Motor-Livestand;10;7;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
24146;1786820969711;150B;Motor-/Controllerblock;20;7;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
24345;1786820969910;150D;Zweite Fahrstatistik;20;7;–;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
25392;1786820970957;1502;Akkuinformationen;16;8;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
25808;1786820971373;1505;BikePerformance / Fahrleistung;18;8;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
26011;1786820971576;1506;Trip / Kilometer & Betriebszähler;16;8;–;00-00-1B-A6-00-02-25-0B-00-00-02-C3-00-00-00-00;;
26430;1786820971995;1508;Settings / Licht & Fahrstufe;17;8;–;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
26651;1786820972216;1509;BatteryChange / Akku-Livestand;11;8;–;00-00-FF-FF-4B-C6-70-00-00-00-00;;
26842;1786820972407;150A;MotorUpdate / Motor-Livestand;10;8;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
27058;1786820972623;150B;Motor-/Controllerblock;20;8;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
27269;1786820972834;150D;Zweite Fahrstatistik;20;8;–;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
28308;1786820973873;1502;Akkuinformationen;16;9;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
28721;1786820974286;1505;BikePerformance / Fahrleistung;18;9;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
28938;1786820974503;1506;Trip / Kilometer & Betriebszähler;16;9;–;00-00-1B-A6-00-02-25-0B-00-00-02-C3-00-00-00-00;;
29353;1786820974918;1508;Settings / Licht & Fahrstufe;17;9;–;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
29555;1786820975120;1509;BatteryChange / Akku-Livestand;11;9;–;00-00-FF-FF-4B-C6-70-00-00-00-00;;
29770;1786820975335;150A;MotorUpdate / Motor-Livestand;10;9;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
29982;1786820975547;150B;Motor-/Controllerblock;20;9;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
30185;1786820975750;150D;Zweite Fahrstatistik;20;9;–;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
31232;1786820976797;1502;Akkuinformationen;16;10;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
31649;1786820977214;1505;BikePerformance / Fahrleistung;18;10;7;00-00-00-00-FF-FF-00-04-FF-FF-FF-FF-FF-00-00-00-00-00;;
31849;1786820977414;1506;Trip / Kilometer & Betriebszähler;16;10;–;00-00-1B-A6-00-02-25-0B-00-00-02-C3-00-00-00-00;;
32276;1786820977841;1508;Settings / Licht & Fahrstufe;17;10;–;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
32480;1786820978045;1509;BatteryChange / Akku-Livestand;11;10;–;00-00-FF-FF-4B-C6-70-00-00-00-00;;
32705;1786820978270;150A;MotorUpdate / Motor-Livestand;10;10;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
32895;1786820978460;150B;Motor-/Controllerblock;20;10;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
33112;1786820978677;150D;Zweite Fahrstatistik;20;10;1;00-10-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
34145;1786820979710;1502;Akkuinformationen;16;11;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
34561;1786820980126;1505;BikePerformance / Fahrleistung;18;11;7;00-00-00-00-FF-FF-00-0B-FF-FF-FF-FF-FF-00-00-00-00-00;;
34776;1786820980341;1506;Trip / Kilometer & Betriebszähler;16;11;7;00-00-1B-A6-00-02-25-0E-00-00-02-C3-00-00-00-00;;
35192;1786820980757;1508;Settings / Licht & Fahrstufe;17;11;–;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
35404;1786820980969;1509;BatteryChange / Akku-Livestand;11;11;–;00-00-FF-FF-4B-C6-70-00-00-00-00;;
35609;1786820981174;150A;MotorUpdate / Motor-Livestand;10;11;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
35846;1786820981411;150B;Motor-/Controllerblock;20;11;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
36023;1786820981588;150D;Zweite Fahrstatistik;20;11;–;00-10-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
37068;1786820982633;1502;Akkuinformationen;16;12;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
37485;1786820983050;1505;BikePerformance / Fahrleistung;18;12;7;00-00-00-00-FF-FF-00-0F-FF-FF-FF-FF-FF-00-00-00-00-00;;
37698;1786820983263;1506;Trip / Kilometer & Betriebszähler;16;12;7;00-00-1B-A6-00-02-25-11-00-00-02-C3-00-00-00-00;;
38117;1786820983682;1508;Settings / Licht & Fahrstufe;17;12;–;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
38320;1786820983885;1509;BatteryChange / Akku-Livestand;11;12;–;00-00-FF-FF-4B-C6-70-00-00-00-00;;
38543;1786820984108;150A;MotorUpdate / Motor-Livestand;10;12;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
38735;1786820984300;150B;Motor-/Controllerblock;20;12;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
38949;1786820984514;150D;Zweite Fahrstatistik;20;12;–;00-10-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
39987;1786820985552;1502;Akkuinformationen;16;13;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
40415;1786820985980;1505;BikePerformance / Fahrleistung;18;13;7;00-00-00-00-FF-FF-00-09-FF-FF-FF-FF-FF-00-00-00-00-00;;
40617;1786820986182;1506;Trip / Kilometer & Betriebszähler;16;13;7;00-00-1B-A6-00-02-25-14-00-00-02-C3-00-00-00-00;;
41032;1786820986597;1508;Settings / Licht & Fahrstufe;17;13;–;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
41246;1786820986811;1509;BatteryChange / Akku-Livestand;11;13;–;00-00-FF-FF-4B-C6-70-00-00-00-00;;
41446;1786820987011;150A;MotorUpdate / Motor-Livestand;10;13;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
41662;1786820987227;150B;Motor-/Controllerblock;20;13;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
41864;1786820987429;150D;Zweite Fahrstatistik;20;13;–;00-10-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
42909;1786820988474;1502;Akkuinformationen;16;14;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
43339;1786820988904;1505;BikePerformance / Fahrleistung;18;14;7;00-00-00-00-FF-FF-00-24-FF-FF-FF-FF-FF-00-00-00-00-00;;
43540;1786820989105;1506;Trip / Kilometer & Betriebszähler;16;14;7;00-00-1B-A6-00-02-25-17-00-00-02-C3-00-00-00-00;;
43966;1786820989531;1508;Settings / Licht & Fahrstufe;17;14;–;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
44169;1786820989734;1509;BatteryChange / Akku-Livestand;11;14;–;00-00-FF-FF-4B-C6-70-00-00-00-00;;
44373;1786820989938;150A;MotorUpdate / Motor-Livestand;10;14;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
44576;1786820990141;150B;Motor-/Controllerblock;20;14;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
44800;1786820990365;150D;Zweite Fahrstatistik;20;14;1;00-32-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
45837;1786820991402;1502;Akkuinformationen;16;15;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
46252;1786820991817;1505;BikePerformance / Fahrleistung;18;15;0,1,2,3,7;09-9C-09-9C-FF-FF-00-32-FF-FF-FF-FF-FF-00-00-00-00-00;;
46455;1786820992020;1506;Trip / Kilometer & Betriebszähler;16;15;7;00-00-1B-A6-00-02-25-1A-00-00-02-C3-00-00-00-00;;
46871;1786820992436;1508;Settings / Licht & Fahrstufe;17;15;–;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
47081;1786820992646;1509;BatteryChange / Akku-Livestand;11;15;0,1,6,10;03-E8-FF-FF-4B-C6-0C-00-00-00-32;;
47284;1786820992849;150A;MotorUpdate / Motor-Livestand;10;15;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
47501;1786820993066;150B;Motor-/Controllerblock;20;15;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
47701;1786820993266;150D;Zweite Fahrstatistik;20;15;1;00-57-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
48750;1786820994315;1502;Akkuinformationen;16;16;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
49164;1786820994729;1505;BikePerformance / Fahrleistung;18;16;0,1,2,3,7;00-00-00-00-FF-FF-00-68-FF-FF-FF-FF-FF-00-00-00-00-00;;
49378;1786820994943;1506;Trip / Kilometer & Betriebszähler;16;16;7;00-00-1B-A6-00-02-25-1D-00-00-02-C3-00-00-00-00;;
49794;1786820995359;1508;Settings / Licht & Fahrstufe;17;16;–;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
49997;1786820995562;1509;BatteryChange / Akku-Livestand;11;16;0,1,10;00-00-FF-FF-4B-C6-0C-00-00-00-00;;
50212;1786820995777;150A;MotorUpdate / Motor-Livestand;10;16;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
50414;1786820995979;150B;Motor-/Controllerblock;20;16;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
50626;1786820996191;150D;Zweite Fahrstatistik;20;16;1;00-6D-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
51674;1786820997239;1502;Akkuinformationen;16;17;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
52091;1786820997656;1505;BikePerformance / Fahrleistung;18;17;7;00-00-00-00-FF-FF-00-84-FF-FF-FF-FF-FF-00-00-00-00-00;;
52290;1786820997855;1506;Trip / Kilometer & Betriebszähler;16;17;7;00-00-1B-A6-00-02-25-20-00-00-02-C3-00-00-00-00;;
52708;1786820998273;1508;Settings / Licht & Fahrstufe;17;17;–;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
52923;1786820998488;1509;BatteryChange / Akku-Livestand;11;17;0,1,5,6,9,10;36-B0-FF-FF-4B-BD-D8-00-00-02-A8;;
53126;1786820998691;150A;MotorUpdate / Motor-Livestand;10;17;0,1;3E-80-FF-FF-FF-FF-FF-FF-FF-FF;;
53341;1786820998906;150B;Motor-/Controllerblock;20;17;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
53554;1786820999119;150D;Zweite Fahrstatistik;20;17;1;00-AD-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
54588;1786821000153;1502;Akkuinformationen;16;18;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
55004;1786821000569;1505;BikePerformance / Fahrleistung;18;18;0,1,2,3,7;0F-78-0F-78-FF-FF-00-D6-FF-FF-FF-FF-FF-00-00-00-00-00;;
55220;1786821000785;1506;Trip / Kilometer & Betriebszähler;16;18;7;00-00-1B-A6-00-02-25-23-00-00-02-C3-00-00-00-00;;
55632;1786821001197;1508;Settings / Licht & Fahrstufe;17;18;–;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
55839;1786821001404;1509;BatteryChange / Akku-Livestand;11;18;0,1,5,6,9,10;17-70-FF-FF-4B-C1-5C-00-00-01-29;;
56051;1786821001616;150A;MotorUpdate / Motor-Livestand;10;18;0,1;0B-B8-FF-FF-FF-FF-FF-FF-FF-FF;;
56263;1786821001828;150B;Motor-/Controllerblock;20;18;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
56466;1786821002031;150D;Zweite Fahrstatistik;20;18;1;00-DA-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
